_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J1748.0+3405,1,267.014,34.090,0.068,0.058,-11,10.8,0.6,7.5,2.39,PL,,,,,fsrq,MG2 J174803+3403,Simbad,J1748.0p3405,LC,1.23,0.29,0.22,0.05,0.55,0.11,0.84,0.34,0.35,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.53
J1748.0-2447,2,267.012,-24.788,0.028,0.025,-48,31.6,11.1,73.1,2.26,LP,T,1,2FGL J1748.0-2447,E,glc,Terzan 5,Simbad,J1748.0-2447,LC,4.11,1.24,2.56,0.22,9.14,0.52,19.10,1.63,0.91,0.40,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,2.09
J1748.3-2815c,1,267.092,-28.259,0.030,0.029,-42,15.1,8.2,42.3,2.19,LP,,"3,6,12",,,,,Simbad,J1748.3-2815c,LC,0.09,3.31,0.45,0.34,4.62,0.74,28.81,2.81,2.70,0.71,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,6.24
J1748.5-3912,1,267.131,-39.206,0.096,0.076,29,9.3,1.3,16.3,2.30,PL,,3,,,,,Simbad,J1748.5-3912,LC,2.48,0.85,0.28,0.11,1.59,0.24,2.37,0.72,0.13,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.49
J1748.6+7005,3,267.169,70.097,0.017,0.016,-37,52.7,4.1,46.0,2.06,PL,T,,1FHL J1748.5+7006,,bll,S4 1749+70,Simbad,J1748.6p7005,LC,3.05,0.42,1.01,0.06,3.09,0.16,9.91,0.77,2.86,0.41,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,3.21
J1748.9-2021,2,267.236,-20.354,0.073,0.068,85,15.1,2.3,41.3,2.64,PL,,,2FGL J1748.7-2020,,glc,NGC 6440,Simbad,J1748.9-2021,LC,6.38,1.21,1.50,0.17,1.70,0.30,3.74,0.88,0.09,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.20
J1749.1+4322,2,267.276,43.379,0.046,0.041,-53,19.3,1.1,13.2,2.25,PL,,,2FGL J1749.1+4323,,bll,B3 1747+433,Simbad,J1749.1p4322,LC,1.45,0.28,0.39,0.05,0.78,0.11,2.78,0.51,0.40,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,3.56
J1749.2-2911,1,267.315,-29.193,0.080,0.057,58,11.7,7.6,46.0,2.41,LP,,"3,7",,,,,Simbad,J1749.2-2911,LC,0.00,2.79,1.48,0.55,5.60,0.83,8.81,1.75,0.78,0.43,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
J1749.6-3133,1,267.422,-31.552,0.126,0.118,15,7.3,2.3,18.8,2.48,LP,,"1,4,5",2FGL J1749.7-3134c,,,,Simbad,J1749.6-3133,LC,2.68,1.11,0.90,0.21,1.48,0.42,2.55,0.99,0.00,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,1.72
J1749.7-0305,1,267.448,-3.086,0.088,0.077,40,7.4,0.9,12.8,2.43,PL,,3,1FGL J1749.5-0301,,,,Simbad,J1749.7-0305,LC,2.91,0.58,0.24,0.10,1.20,0.22,1.83,0.62,0.07,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.52
J1750.2-3704,1,267.564,-37.067,0.065,0.064,-29,10.4,1.5,18.7,2.34,PL,,,,,glc,NGC 6441,Simbad,J1750.2-3704,LC,2.56,0.82,0.71,0.12,1.47,0.24,2.80,0.74,0.16,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,1.90
J1750.9-2220,1,267.743,-22.345,0.134,0.121,9,4.3,0.9,13.0,2.46,PL,,4,,,,,Simbad,J1750.9-2220,LC,3.70,1.48,0.67,0.19,0.23,0.25,2.02,0.84,0.40,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,8.78
J1751.5+0939,4,267.882,9.658,0.030,0.029,0,35.4,4.3,38.7,2.25,LP,T,,1FHL J1751.5+0938,,bll,OT 081,Simbad,J1751.5p0939,LC,3.32,0.46,1.60,0.09,3.11,0.23,7.45,0.90,0.93,0.32,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,2.40
J1753.5-5010,2,268.386,-50.170,0.126,0.096,1,8.7,0.7,10.4,2.51,PL,T,,2FGL J1753.8-5012,,bcu,PMN J1753-5015,Simbad,J1753.5-5010,LC,1.22,0.47,0.42,0.07,0.87,0.16,1.06,0.45,0.00,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,1.22
J1753.6-4447,1,268.404,-44.793,0.080,0.063,68,11.1,1.4,9.4,2.14,LP,,,2FGL J1753.8-4446,,,,Simbad,J1753.6-4447,LC,0.72,0.31,0.31,0.07,1.23,0.19,2.74,0.64,0.09,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,2.23
J1754.0-2538,2,268.508,-25.649,0.029,0.027,-87,16.8,7.7,41.7,2.08,LP,,3,2FGL J1754.4-2538c,,,,Simbad,J1754.0-2538,LC,0.00,0.68,1.16,0.22,6.67,0.63,18.04,1.98,1.48,0.50,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70
J1754.0-2930,1,268.500,-29.506,0.108,0.083,14,15.0,4.1,41.5,2.54,LP,,3,2FGL J1754.1-2930,,,,Simbad,J1754.0-2930,LC,7.76,1.52,2.21,0.23,3.75,0.44,2.66,1.00,0.00,0.31,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.71
J1754.0-3321,1,268.518,-33.363,0.133,0.115,-83,6.3,1.1,15.3,2.41,PL,,4,,,,,Simbad,J1754.0-3321,LC,1.24,1.14,0.80,0.15,0.82,0.27,2.54,0.81,0.17,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,3.10
J1754.1+3212,3,268.546,32.208,0.021,0.020,-79,41.6,3.4,39.5,1.90,PL,T,,1FHL J1754.2+3213,,bll,RX J1754.1+3212,Simbad,J1754.1p3212,LC,1.69,0.29,0.61,0.05,2.34,0.17,9.50,0.87,3.45,0.53,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,4.06
J1754.3-6424,1,268.579,-64.405,0.116,0.096,68,7.2,0.4,6.2,2.46,PL,,,2FGL J1755.5-6423,,bll,PMN J1754-6423,Simbad,J1754.3-6424,LC,1.09,0.37,0.20,0.05,0.43,0.11,0.56,0.33,0.17,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.30
J1756.3+5523,3,269.077,55.389,0.040,0.037,62,10.1,0.4,4.9,1.98,PL,,,1FHL J1756.5+5523,,bll,1RXS J175615.5+552217,Simbad,J1756.3p5523,LC,0.37,0.24,0.17,0.04,0.10,0.07,1.07,0.33,0.64,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,10.70
J1756.9+7032,1,269.246,70.549,0.076,0.054,31,5.5,0.2,2.4,1.71,PL,,,,,bll,MS 1757.7+7034,Simbad,J1756.9p7032,LC,1.00,0.48,0.05,0.05,0.08,0.07,0.42,0.24,0.28,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5.25
J1757.1+1533,1,269.290,15.560,0.232,0.136,20,4.5,0.4,4.3,2.04,PL,,,,,bcu,87GB 175437.6+153548,Simbad,J1757.1p1533,LC,0.02,0.31,0.08,0.05,0.37,0.13,1.34,0.44,0.00,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,3.62
J1757.4+6536,1,269.361,65.602,0.061,0.054,-3,5.1,0.2,2.7,2.32,PL,,,,,bcu,7C 1757+6536,Simbad,J1757.4p6536,LC,0.72,0.26,0.09,0.04,0.08,0.07,0.07,0.23,0.27,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.88
J1757.7-6030,1,269.428,-60.506,0.063,0.056,90,9.6,0.6,3.6,1.96,LP,,,2FGL J1757.5-6028,,,,Simbad,J1757.7-6030,LC,0.01,0.17,0.01,0.03,0.37,0.10,2.28,0.51,0.16,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,6.16
J1757.8-3126,1,269.470,-31.446,0.116,0.103,-9,6.0,1.2,15.8,2.42,PL,,4,,,,,Simbad,J1757.8-3126,LC,0.79,1.32,0.80,0.16,0.93,0.29,2.35,0.81,0.12,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.53
J1758.8-2346,1,269.707,-23.783,0.057,0.053,71,7.3,3.3,36.7,2.08,PL,,"3,5",,,,,Simbad,J1758.8-2346,LC,0.37,3.28,0.00,0.65,3.91,0.94,8.17,1.94,1.87,0.64,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.09
J1758.8-2402,1,269.705,-24.037,0.077,0.071,-34,5.3,2.3,25.6,1.99,PL,,5,2FGL J1758.8-2402c,,,,Simbad,J1758.8-2402,LC,0.00,2.91,0.88,0.46,1.42,0.92,8.10,1.95,1.49,0.66,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70
J1758.8-4108,1,269.713,-41.136,0.068,0.064,12,6.4,0.7,7.4,2.10,PL,,,,,,,Simbad,J1758.8-4108,LC,0.23,0.55,0.08,0.08,0.81,0.18,1.50,0.53,0.30,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1.85
J1759.1-4822,1,269.795,-48.372,0.060,0.054,15,12.8,1.2,14.0,2.30,PL,T,,2FGL J1759.2-4819,,bcu,PMN J1758-4820,Simbad,J1759.1-4822,LC,1.73,0.45,0.44,0.07,1.16,0.17,2.09,0.56,0.37,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.80
J1759.2-3848,2,269.814,-38.811,0.117,0.096,-58,5.7,0.8,8.9,2.24,PL,,,2FGL J1759.2-3853,,,,Simbad,J1759.2-3848,LC,0.02,0.71,0.21,0.10,0.74,0.19,2.41,0.66,0.00,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,10.50,3.26
J1759.6-2141,1,269.910,-21.692,0.071,0.052,-19,5.2,1.6,19.4,2.29,PL,,1,,,,,Simbad,J1759.6-2141,LC,8.99,1.99,0.60,0.32,1.57,0.46,4.13,1.15,0.51,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.63
J1800.0-2955,1,270.023,-29.926,0.116,0.103,64,5.6,1.0,19.1,2.66,PL,,,2FGL J1759.4-2954,,,,Simbad,J1800.0-2955,LC,1.90,1.65,0.97,0.19,0.88,0.29,0.65,0.60,0.15,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.74
J1800.5+7827,4,270.131,78.462,0.017,0.017,16,74.5,5.1,58.6,2.22,PL,T,,1FHL J1800.5+7829,,bll,S5 1803+784,Simbad,J1800.5p7827,LC,6.63,0.26,1.62,0.06,3.88,0.18,11.12,0.81,2.35,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.87
J1800.8-2402,2,270.222,-24.035,0.035,0.034,-3,17.5,10.3,73.3,2.12,LP,,,2FGL J1800.8-2400,E,,,Simbad,J1800.8-2402,LC,5.73,3.09,3.21,0.52,7.57,0.85,22.41,2.36,2.81,0.73,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,2.96
J1801.3-2326e,6,270.340,-23.440,,,,62.7,53.5,415.5,2.15,LP,T,,0FGL J1801.6-2327,E,SNR,W28,Simbad,J1801.3-2326e,LC,29.34,3.17,16.85,0.54,42.68,1.21,86.33,3.79,10.86,1.34,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,2.02
J1801.5+4403,1,270.397,44.053,0.119,0.100,-52,12.1,0.5,9.3,2.70,PL,T,,2FGL J1801.7+4405,,fsrq,S4 1800+44,Simbad,J1801.5p4403,LC,1.99,0.31,0.35,0.05,0.38,0.10,0.89,0.35,0.00,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,2.34
J1801.5-7825,1,270.388,-78.424,0.162,0.156,-35,8.7,0.4,8.8,2.75,PL,T,,,,,,Simbad,J1801.5-7825,LC,2.31,0.39,0.22,0.06,0.35,0.12,0.65,0.41,0.16,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,1.86
J1801.6-2213,1,270.400,-22.220,0.055,0.040,-27,5.1,1.5,16.5,1.97,PL,,3,,,,,Simbad,J1801.6-2213,LC,0.00,2.33,0.39,0.40,1.97,0.61,2.21,1.23,1.62,0.55,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12
J1802.4-3043,1,270.614,-30.724,0.082,0.060,84,6.0,1.0,10.8,2.11,PL,,,,,,,Simbad,J1802.4-3043,LC,1.74,1.44,0.18,0.15,0.57,0.24,3.30,0.82,0.51,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,5.79
J1802.6-3940,6,270.673,-39.674,0.018,0.017,73,63.6,10.1,99.8,2.27,LP,T,,1FHL J1802.7-3940,,fsrq,PMN J1802-3940,Simbad,J1802.6-3940,LC,11.57,0.71,3.90,0.13,7.72,0.33,17.32,1.29,2.25,0.47,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,2.24
J1803.1-2147,3,270.783,-21.787,0.027,0.025,-48,23.9,14.0,90.1,2.18,EC,,,2FGL J1803.3-2148,,PSR,LAT PSR J1803-2149,Simbad,J1803.1-2147,LC,0.00,3.99,2.98,0.50,9.80,0.79,30.65,2.36,1.67,0.57,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
J1803.1-2728,1,270.786,-27.467,0.110,0.075,-4,5.9,1.2,14.5,2.34,PL,,1,,,,,Simbad,J1803.1-2728,LC,4.00,1.10,0.55,0.17,1.28,0.31,2.06,0.80,0.43,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.61
J1803.3-6706,1,270.843,-67.116,0.076,0.060,2,10.5,0.7,8.2,2.22,PL,,,2FGL J1802.8-6706,,,,Simbad,J1803.3-6706,LC,0.90,0.36,0.21,0.05,0.63,0.12,1.51,0.43,0.16,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,2.40
J1804.1+0341,1,271.034,3.697,0.121,0.108,-65,4.5,0.5,5.5,2.26,PL,,3,1FGL J1804.1+0336,,fsrq,TXS 1801+036,Simbad,J1804.1p0341,LC,0.72,0.49,0.17,0.08,0.33,0.15,1.15,0.49,0.20,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,3.48
J1804.1+2532,1,271.039,25.543,0.162,0.154,-55,6.1,0.3,6.5,2.71,PL,,,2FGL J1803.6+2523c,,,,Simbad,J1804.1p2532,LC,1.51,0.40,0.32,0.06,0.07,0.09,0.53,0.31,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,7.57
J1804.5-0850,1,271.130,-8.842,0.107,0.090,72,8.1,1.0,19.9,2.75,PL,,4,,,,,Simbad,J1804.5-0850,LC,6.56,0.82,0.34,0.15,0.88,0.27,2.65,0.77,0.37,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3.01
J1805.6-2136e,5,271.408,-21.612,,,,33.2,24.2,204.4,2.07,LP,T,,0FGL J1805.3-2138,E,SNR,W30,Simbad,J1805.6-2136e,LC,11.46,2.07,6.30,0.47,19.21,1.01,49.14,3.26,11.24,1.31,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,2.56
J1805.9+0614,2,271.478,6.238,0.086,0.070,-50,9.3,1.1,5.5,2.08,LP,,,2FGL J1805.8+0612,,psr,PSR J1805+06,Simbad,J1805.9p0614,LC,0.05,0.23,0.12,0.05,0.83,0.16,2.62,0.63,0.13,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,3.16
J1805.9+3407,1,271.479,34.125,0.183,0.172,83,4.6,0.3,4.6,2.60,PL,,,,,,,Simbad,J1805.9p3407,LC,0.59,0.44,0.15,0.05,0.43,0.11,0.32,0.27,0.00,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.74
J1806.2+2744,1,271.555,27.749,0.292,0.248,-32,4.3,0.3,4.6,2.47,PL,,,,,,,Simbad,J1806.2p2744,LC,0.19,0.41,0.24,0.06,0.11,0.11,0.54,0.32,0.02,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,4.91
J1806.7+6949,3,271.681,69.818,0.022,0.021,79,46.1,3.3,39.0,2.23,PL,T,4,1FHL J1806.3+6948,,bll,3C 371,Simbad,J1806.7p6949,LC,3.26,0.45,1.20,0.06,2.65,0.16,6.56,0.64,1.37,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,2.48
J1806.7-2451,1,271.681,-24.855,0.089,0.069,39,4.2,1.0,11.0,2.21,PL,,,,,,,Simbad,J1806.7-2451,LC,4.08,1.62,0.45,0.22,1.35,0.38,0.70,0.79,0.56,0.31,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.52
J1806.8+5346,1,271.724,53.781,0.150,0.121,-65,5.2,0.3,4.4,2.56,PL,,,,,,,Simbad,J1806.8p5346,LC,0.85,0.39,0.16,0.04,0.24,0.09,0.23,0.22,0.24,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.96
J1807.5-4343,1,271.888,-43.719,0.147,0.122,-2,4.9,0.5,5.6,2.12,PL,,,1FGL J1807.6-4341,,glc,NGC 6541,Simbad,J1807.5-4343,LC,0.06,0.37,0.11,0.06,0.58,0.15,1.70,0.54,0.00,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.93
J1807.8+6427,1,271.951,64.455,0.068,0.065,-43,5.8,0.2,2.8,2.09,PL,,,,,bcu,7C 1807+6428,Simbad,J1807.8p6427,LC,0.08,0.24,0.05,0.03,0.17,0.07,0.48,0.23,0.22,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,2.82
J1807.8-5011,1,271.954,-50.184,0.150,0.109,74,4.5,0.4,5.0,2.42,PL,,,3EG J1806-5005,,fsrq,PMN J1808-5011,Simbad,J1807.8-5011,LC,0.75,0.42,0.21,0.07,0.29,0.12,0.38,0.37,0.25,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,1.31
J1808.0+4652,1,272.010,46.868,0.076,0.068,7,4.9,0.2,2.4,1.73,PL,,,,,bll,RGB J1808+468,Simbad,J1808.0p4652,LC,0.02,0.21,0.00,0.03,0.14,0.08,0.55,0.29,0.29,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.93
J1808.3-3357,1,272.097,-33.963,0.092,0.080,42,8.7,1.5,8.7,2.26,LP,,,2FGL J1808.3-3356,,,,Simbad,J1808.3-3357,LC,0.65,0.38,0.31,0.08,1.23,0.22,1.93,0.64,0.04,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.57
J1808.4-3519,1,272.101,-35.329,0.096,0.094,-82,4.9,0.6,7.3,2.31,PL,,,,,,,Simbad,J1808.4-3519,LC,1.12,0.74,0.23,0.09,0.68,0.18,1.34,0.52,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.97
J1808.4-3703,1,272.124,-37.051,0.127,0.095,32,4.5,0.5,5.8,2.19,PL,,,,,,,Simbad,J1808.4-3703,LC,0.37,0.52,0.18,0.08,0.66,0.16,1.05,0.47,0.00,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,1.59
J1808.5-1952,2,272.141,-19.872,0.070,0.058,74,8.8,5.5,44.4,2.31,LP,,"3,4",2FGL J1808.6-1950c,,glc,2MS-GC01,Simbad,J1808.5-1952,LC,4.06,2.48,0.93,0.51,4.58,0.80,6.61,1.86,0.79,0.49,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1.44
J1809.0+3517,1,272.273,35.285,0.094,0.087,32,5.4,0.3,4.4,2.44,PL,,,,,,,Simbad,J1809.0p3517,LC,0.70,0.41,0.16,0.05,0.17,0.09,0.62,0.31,0.19,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,3.65
J1809.2-2016c,1,272.324,-20.282,0.056,0.046,17,5.4,2.6,32.1,2.33,PL,,4,,,,,Simbad,J1809.2-2016c,LC,9.26,3.32,2.29,0.48,2.79,0.77,4.84,1.67,0.81,0.45,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.73
J1809.2-2725,1,272.315,-27.428,0.133,0.099,-47,4.6,0.8,9.8,2.31,PL,,"4,6",,,,,Simbad,J1809.2-2725,LC,0.00,1.15,0.61,0.14,0.41,0.24,1.93,0.72,0.30,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
J1809.4+2040,2,272.356,20.678,0.054,0.048,-1,6.7,0.4,4.2,1.88,PL,,,1FHL J1809.3+2040,,bll,RX J1809.3+2041,Simbad,J1809.4p2040,LC,0.45,0.35,0.10,0.05,0.03,0.09,0.86,0.42,0.60,0.25,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,28.67
J1809.7+2909,3,272.432,29.158,0.038,0.033,81,16.3,1.1,13.2,1.91,PL,,,1FHL J1809.6+2910,,bll,MG2 J180948+2910,Simbad,J1809.7p2909,LC,0.43,0.44,0.17,0.05,0.77,0.13,3.09,0.57,1.18,0.34,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,4.01
J1809.8-2332,5,272.463,-23.544,0.009,0.009,45,129.5,63.8,448.0,2.12,EC,,,1FHL J1809.8-2329,,PSR,PSR J1809-2332,Simbad,J1809.8-2332,LC,31.27,1.27,15.72,0.34,52.34,0.89,106.11,3.20,6.04,0.79,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,2.03
J1810.1-1910,1,272.545,-19.168,0.108,0.086,42,5.1,2.1,23.7,2.10,PL,,"3,5",,E,spp,,Simbad,J1810.1-1910,LC,0.02,2.46,1.99,0.37,1.69,0.71,5.53,1.65,1.21,0.55,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,99.50,3.27
J1810.5+1743,2,272.644,17.720,0.047,0.046,-40,24.0,2.5,22.4,2.34,EC,,,2FGL J1810.7+1742,,PSR,PSR J1810+1744,Simbad,J1810.5p1743,LC,2.82,0.37,0.94,0.08,2.07,0.19,3.47,0.65,0.06,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1.68
J1810.7+5335,1,272.683,53.589,0.099,0.077,6,5.6,0.2,3.1,1.78,PL,,,2FGL J1811.0+5340,,,,Simbad,J1810.7p5335,LC,0.12,0.40,0.00,0.04,0.15,0.08,0.97,0.32,0.26,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,6.47
J1810.8+1609,2,272.720,16.153,0.075,0.065,53,9.4,0.9,9.8,2.11,PL,,"1,5",2FGL J1810.8+1606,,bll,87GB 180835.5+160714,Simbad,J1810.8p1609,LC,0.02,0.40,0.32,0.07,0.57,0.15,2.23,0.56,0.39,0.25,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,3.91
J1810.8-2412,1,272.715,-24.212,0.107,0.065,71,6.2,1.8,21.8,2.32,PL,,,2FGL J1811.3-2421,,,,Simbad,J1810.8-2412,LC,0.00,2.57,1.45,0.29,1.83,0.43,2.89,0.97,0.34,0.27,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
J1811.2+0340,2,272.818,3.679,0.036,0.034,-33,11.2,0.8,10.4,1.71,PL,,3,2FGL J1811.3+0339,,bll,NVSS J181118+034113,Simbad,J1811.2p0340,LC,0.00,0.24,0.04,0.06,0.54,0.16,3.18,0.65,0.98,0.33,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89
J1811.3-1927c,1,272.827,-19.457,0.119,0.114,0,4.4,2.1,25.0,2.24,PL,,"6,9",,,spp,,Simbad,J1811.3-1927c,LC,0.20,2.96,0.03,0.54,2.16,0.72,6.06,1.69,0.81,0.47,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,2.81
J1813.4-1246,3,273.350,-12.770,0.016,0.015,44,76.2,27.3,265.4,2.40,EC,,,2FGL J1813.4-1246,,PSR,LAT PSR J1813-1246,Simbad,J1813.4-1246,LC,32.11,1.55,11.61,0.30,23.74,0.67,30.91,1.92,0.86,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.30
J1813.6+0614,1,273.410,6.245,0.041,0.038,-4,11.0,0.9,10.4,1.88,PL,T,,2FGL J1813.7+0617,,bll,TXS 1811+062,Simbad,J1813.6p0614,LC,0.00,0.28,0.10,0.07,0.73,0.16,2.81,0.62,0.79,0.30,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
J1813.6+2820,1,273.421,28.336,0.125,0.094,75,5.1,0.4,4.2,2.21,PL,,,,,,,Simbad,J1813.6p2820,LC,0.64,0.48,0.14,0.06,0.20,0.10,0.84,0.37,0.21,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,4.20
J1813.6+3143,3,273.413,31.732,0.048,0.045,54,17.8,1.5,11.3,2.12,LP,,,1FHL J1813.4+3145,,bll,B2 1811+31,Simbad,J1813.6p3143,LC,0.76,0.25,0.38,0.05,1.28,0.15,2.06,0.50,0.64,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,1.61
J1813.6-1148,1,273.423,-11.808,0.144,0.116,21,11.8,1.2,48.1,2.68,LP,,,2FGL J1813.7-1139c,,,,Simbad,J1813.6-1148,LC,7.98,1.53,2.94,0.34,1.34,0.42,2.76,0.93,0.00,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,2.06
J1813.6-6845,1,273.413,-68.763,0.138,0.113,-89,4.7,0.3,4.2,2.38,PL,,"3,5,9,12",,,,,Simbad,J1813.6-6845,LC,0.13,0.35,0.15,0.05,0.38,0.11,0.17,0.30,0.06,0.09,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.45
J1814.0-1757c,1,273.514,-17.961,0.097,0.061,-86,5.4,2.8,31.3,2.18,PL,,6,1AGL J1815-1732,,,,Simbad,J1814.0-1757c,LC,0.00,3.24,1.11,0.60,2.78,0.83,7.37,1.85,0.31,0.49,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
