_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J0316.1-2611,3,49.048,-26.194,0.050,0.047,8,12.9,0.6,7.6,1.86,PL,,,1FHL J0316.3-2609,,bll,RBS 0405,Simbad,J0316.1-2611,LC,0.46,0.21,0.08,0.03,0.43,0.09,2.29,0.49,0.38,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,5.33
J0316.2-6436,2,49.050,-64.607,0.058,0.051,62,12.9,0.7,7.6,2.09,PL,,,2FGL J0316.1-6434,,bll,SUMSS J031614-643732,Simbad,J0316.2-6436,LC,1.00,0.24,0.17,0.04,0.38,0.09,1.72,0.42,0.60,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,4.53
J0316.6+4119,2,49.165,41.329,0.039,0.035,70,7.9,0.7,7.6,1.90,PL,,,1FHL J0316.6+4119,P,rdg,IC 310,Simbad,J0316.6p4119,LC,0.00,0.75,0.00,0.09,0.66,0.19,1.73,0.57,0.39,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
J0318.1+0252,2,49.536,2.869,0.089,0.061,-70,12.8,1.2,5.7,2.09,LP,,,2FGL J0318.0+0255,,,,Simbad,J0318.1p0252,LC,0.21,0.20,0.13,0.04,1.02,0.14,2.12,0.52,0.05,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,2.08
J0318.7+2134,1,49.689,21.583,0.049,0.042,-17,12.4,0.9,10.7,1.84,PL,T,,1FHL J0318.8+2134,,bcu,MG3 J031849+2135,Simbad,J0318.7p2134,LC,0.28,0.37,0.19,0.06,0.50,0.13,2.04,0.53,1.45,0.39,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,4.08
J0319.8+1847,3,49.969,18.787,0.036,0.035,57,12.2,0.6,9.5,1.57,PL,T,,1FHL J0319.8+1847,P,bll,RBS 0413,Simbad,J0319.8p1847,LC,0.00,0.22,0.02,0.04,0.33,0.10,1.86,0.47,1.26,0.37,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
J0319.8+4130,4,49.959,41.514,0.010,0.010,-31,108.5,21.2,199.1,2.08,LP,T,,1FHL J0319.9+4130,P,RDG,NGC 1275,Simbad,J0319.8p4130,LC,15.64,0.37,5.64,0.11,15.57,0.40,46.23,1.84,9.84,0.83,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,2.97
J0322.0+2335,3,50.515,23.593,0.032,0.030,89,15.5,1.2,13.4,1.95,PL,,,1FHL J0322.1+2337,,bll,MG3 J032201+2336,Simbad,J0322.0p2335,LC,0.76,0.42,0.24,0.06,0.79,0.14,2.74,0.60,1.26,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,3.47
J0322.5-3721,1,50.643,-37.358,0.123,0.091,-68,8.3,0.5,5.3,2.20,PL,,,2FGL J0322.4-3717,,rdg,Fornax A,Simbad,J0322.5-3721,LC,0.08,0.21,0.18,0.04,0.46,0.10,0.87,0.36,0.10,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.89
J0323.6-0109,3,50.908,-1.153,0.053,0.049,-20,12.4,0.7,8.8,1.85,PL,,,1FHL J0323.5-0107,,bll,1RXS J032342.6-011131,Simbad,J0323.6-0109,LC,0.41,0.26,0.09,0.04,0.37,0.10,2.09,0.50,1.22,0.36,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,5.65
J0323.7-6038,1,50.943,-60.640,0.176,0.150,48,4.4,0.2,3.1,2.44,PL,,,,,,,Simbad,J0323.7-6038,LC,0.63,0.37,0.12,0.04,0.07,0.07,0.64,0.29,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,9.14
J0324.5-1315,1,51.147,-13.256,0.214,0.191,26,4.2,0.2,3.7,2.65,PL,,,,,,,Simbad,J0324.5-1315,LC,0.68,0.31,0.18,0.05,0.05,0.08,0.54,0.31,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,10.80
J0325.2+3410,2,51.313,34.171,0.106,0.090,2,19.0,0.7,19.4,2.81,LP,T,,2FGL J0324.8+3408,,nlsy1,1H 0323+342,Simbad,J0325.2p3410,LC,4.30,0.38,0.81,0.08,0.57,0.14,0.43,0.32,0.09,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.75
J0325.2-5634,2,51.323,-56.569,0.054,0.051,-35,9.7,0.5,5.3,2.22,PL,,,2FGL J0325.1-5635,,bll,1RXS J032521.8-563543,Simbad,J0325.2-5634,LC,0.50,0.22,0.12,0.03,0.44,0.09,0.87,0.33,0.28,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,1.98
J0325.5+2223,2,51.400,22.399,0.069,0.061,32,22.2,1.5,25.1,2.65,LP,T,,2FGL J0326.1+2226,,fsrq,TXS 0322+222,Simbad,J0325.5p2223,LC,4.94,0.52,1.06,0.08,1.26,0.16,1.80,0.50,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.43
J0325.6-1648,3,51.410,-16.802,0.036,0.034,53,19.0,1.1,14.0,1.79,PL,,,1FHL J0325.7-1647,,bll,RBS 0421,Simbad,J0325.6-1648,LC,0.15,0.24,0.18,0.04,0.65,0.11,2.73,0.54,1.82,0.42,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,4.20
J0326.0-1842,1,51.508,-18.704,0.100,0.082,-23,5.0,0.3,2.9,2.21,PL,,,,,bcu,PMN J0325-1843,Simbad,J0326.0-1842,LC,0.55,0.28,0.08,0.04,0.06,0.07,0.97,0.38,0.20,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,16.17
J0326.2+0225,3,51.555,2.418,0.056,0.043,51,12.5,0.9,9.6,2.00,PL,,,1FHL J0326.1+0224,,bll,1H 0323+022,Simbad,J0326.2p0225,LC,0.81,0.39,0.16,0.05,0.56,0.12,2.43,0.53,0.74,0.30,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,4.34
J0327.4+5828c,1,51.869,58.477,0.134,0.111,-23,6.4,0.8,12.4,2.50,PL,,"1,6",,,,,Simbad,J0327.4p5828c,LC,1.41,0.53,0.60,0.12,1.16,0.25,0.76,0.51,0.13,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.66
J0330.6+0437,1,52.665,4.626,0.107,0.085,-61,7.4,0.6,6.7,2.24,PL,,,,,,,Simbad,J0330.6p0437,LC,0.35,0.32,0.21,0.06,0.45,0.13,1.79,0.50,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,3.98
J0331.3-6155,1,52.836,-61.928,0.046,0.041,-8,12.7,0.7,7.3,2.08,PL,,,,,bcu,PMN J0331-6155,Simbad,J0331.3-6155,LC,0.39,0.29,0.16,0.04,0.44,0.10,1.90,0.44,0.28,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,4.32
J0332.0+6308,3,53.001,63.148,0.055,0.047,-38,8.5,0.9,10.8,2.33,PL,,,1FHL J0332.1+6307,,bcu,GB6 J0331+6307,Simbad,J0332.0p6308,LC,1.47,0.48,0.33,0.09,0.90,0.18,1.28,0.47,0.38,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,1.42
J0332.4+4644,1,53.123,46.736,0.238,0.218,73,5.5,0.5,7.0,2.47,PL,,"4,9",,,,,Simbad,J0332.4p4644,LC,1.20,0.38,0.37,0.08,0.34,0.15,0.57,0.36,0.10,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.68
J0332.4+6110,1,53.121,61.170,0.513,0.247,-58,6.5,0.5,7.3,2.50,LP,,1,,,,,Simbad,J0332.4p6110,LC,0.85,0.28,0.48,0.09,0.48,0.18,0.44,0.39,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.92
